anchor,target,tl_pt_patch,transformations,score,true_positive,disruptive_score,mean_disruptive_score
44,45,"[5625, 2242]","{'tx': 95, 'ty': 491, 'angle': 161.3217500880125, 'scale': 0.9804356342719902}",1.3173013498204,False,0.720420108298568,0.0171244943139411
44,45,"[5112, 2945]","{'tx': 103, 'ty': 497, 'angle': 80.16093167130002, 'scale': 0.9663562381301452}",1.24548435190813,False,0.679422147085485,0.0049442130066439
44,45,"[4572, 3422]","{'tx': 110, 'ty': 397, 'angle': 354.6167865118567, 'scale': 0.9500743147112013}",1.44633995037221,False,0.800305768493968,0.0113951950497721
44,45,"[4172, 3926]","{'tx': 93, 'ty': 419, 'angle': 355.4607251073277, 'scale': 1.002518447268405}",1.44769954143938,False,0.867468058819302,0.0188212413218248
44,45,"[3364, 3519]","{'tx': 151, 'ty': 234, 'angle': 54.252327715491674, 'scale': 0.9807854589665468}",1.36905693918658,False,0.77486687639905,0.0107885036253923
44,45,"[2949, 3231]","{'tx': 86, 'ty': 412, 'angle': 94.92844084115826, 'scale': 1.0138957645926303}",1.44424828545361,False,0.837688565521211,0.00816410071147156
44,45,"[2673, 3092]","{'tx': 103, 'ty': 409, 'angle': 268.06336358808807, 'scale': 0.9735649194863147}",1.33521590987913,False,0.736892921576315,0.0105211288700148
44,45,"[2424, 2965]","{'tx': 92, 'ty': 406, 'angle': 94.69738935583567, 'scale': 0.9509019980421043}",1.34332096474954,False,0.744855689697423,0.0498807352566777
44,45,"[2131, 2837]","{'tx': 90, 'ty': 417, 'angle': 278.9550106556616, 'scale': 1.0038407603821673}",1.41144541597589,False,0.856325125601242,0.0524094580085127
44,45,"[1566, 2692]","{'tx': 105, 'ty': 398, 'angle': 263.03506723671745, 'scale': 0.9992964408520759}",1.29407063981383,False,0.745382935893358,0.00851931223208144
44,45,"[659, 2242]","{'tx': 103, 'ty': 496, 'angle': 352.2668505977378, 'scale': 1.0397097297302749}",1.48042895101517,False,0.879707491743466,0.00652475256319423
44,45,"[1242, 1688]","{'tx': 357, 'ty': 248, 'angle': 193.97613780387175, 'scale': 1.0382227399697277}",1.38490033701195,False,0.774700568308492,0.010911718611874
44,45,"[1517, 1202]","{'tx': 114, 'ty': 502, 'angle': 267.3714719316173, 'scale': 1.0361913530367792}",1.38281423680583,False,0.774562813814122,0.017975498535097
44,45,"[1803, 665]","{'tx': 98, 'ty': 496, 'angle': 268.83697290892377, 'scale': 0.9511849283463152}",1.29123773962197,False,0.742774330740505,0.00849977187645797
44,45,"[2374, 474]","{'tx': 193, 'ty': 126, 'angle': 89.14637032925538, 'scale': 0.9808123688949918}",1.39467792145594,True,0.778765913089511,0.0136873351468239
44,45,"[2949, 613]","{'tx': 164, 'ty': 247, 'angle': 271.02244403964573, 'scale': 1.007114589596167}",1.5526464905066,False,0.857326168028536,0.0122351598996582
44,45,"[3468, 645]","{'tx': 166, 'ty': 186, 'angle': 268.6182307108556, 'scale': 1.0420936459833003}",1.48633933675015,False,0.856983745652474,0.0193280877238072
44,45,"[3979, 825]","{'tx': 142, 'ty': 516, 'angle': 169.26926098773546, 'scale': 0.9926620782855825}",1.37435015582249,False,0.795331500280825,0.0134884311493262
44,45,"[4442, 1158]","{'tx': 135, 'ty': 513, 'angle': 172.77790422144935, 'scale': 0.9866963196019698}",1.31082511013347,False,0.742694597939559,0.0170448563866336
44,45,"[5004, 1575]","{'tx': 89, 'ty': 403, 'angle': 69.68974525722864, 'scale': 1.0176187167547517}",1.45296860100943,False,0.845303213314075,0.00576833146278614
