anchor,target,tl_pt_patch,transformations,score,true_positive
69,72,"[2852, 2550]","{'tx': 228, 'ty': 116, 'angle': 266.5851549337307, 'scale': 0.9755634917547334}",1.12168943962247,False
69,72,"[3440, 3014]","{'tx': 68, 'ty': 387, 'angle': 265.27367232588887, 'scale': 0.9805504682932639}",1.51999706416142,False
69,72,"[3365, 3533]","{'tx': 516, 'ty': 212, 'angle': 123.33730676579619, 'scale': 1.0092770943173512}",1.44754327839992,False
69,72,"[3253, 4257]","{'tx': 156, 'ty': 230, 'angle': 181.8893343059588, 'scale': 1.0052365333292586}",1.48146845320824,False
69,72,"[2675, 4587]","{'tx': 142, 'ty': 210, 'angle': 124.94479937087804, 'scale': 0.9564609698374649}",1.43747551344093,False
69,72,"[2013, 4439]","{'tx': 501, 'ty': 189, 'angle': 32.74360041135976, 'scale': 0.9714062980006277}",1.43488832194089,False
69,72,"[1497, 4139]","{'tx': 501, 'ty': 172, 'angle': 211.57588401669744, 'scale': 0.9921587620645879}",1.38401155821635,False
69,72,"[1080, 3834]","{'tx': 509, 'ty': 196, 'angle': 207.39062460678795, 'scale': 1.0150249189866012}",0.940949589488234,False
69,72,"[1084, 3225]","{'tx': 485, 'ty': 152, 'angle': 306.4288632011118, 'scale': 1.0155007395256401}",1.22604107805024,False
69,72,"[426, 3065]","{'tx': 520, 'ty': 216, 'angle': 232.4191775791462, 'scale': 1.004563412064343}",1.33783861425692,False
69,72,"[1562, 2550]","{'tx': 522, 'ty': 221, 'angle': 111.29503045404834, 'scale': 1.0206995033904334}",1.50335901179589,False
69,72,"[579, 2084]","{'tx': 490, 'ty': 160, 'angle': 147.07869381572442, 'scale': 0.9836479648225737}",1.20813554623887,False
69,72,"[631, 1546]","{'tx': 96, 'ty': 349, 'angle': 101.27737051732878, 'scale': 1.0428351071254114}",1.38132541397053,False
69,72,"[814, 900]","{'tx': 178, 'ty': 222, 'angle': 84.38557456536567, 'scale': 0.9897685349757762}",1.52449828067157,False
69,72,"[1436, 775]","{'tx': 459, 'ty': 172, 'angle': 208.6116364445846, 'scale': 1.0238309935584826}",1.57684806180537,False
69,72,"[2013, 986]","{'tx': 216, 'ty': 126, 'angle': 254.98290494114104, 'scale': 0.9872920333448058}",1.47581085416316,False
69,72,"[2463, 1166]","{'tx': 241, 'ty': 84, 'angle': 266.36458678336015, 'scale': 1.0203932582272528}",1.48027639917406,False
69,72,"[2735, 1556]","{'tx': 446, 'ty': 81, 'angle': 356.5121210854733, 'scale': 0.9587591225710751}",1.29629058971768,False
69,72,"[2663, 2078]","{'tx': 96, 'ty': 338, 'angle': 188.90151079767332, 'scale': 0.9879224810683758}",1.28448404757583,False
69,72,"[2628, 2350]","{'tx': 273, 'ty': 69, 'angle': 88.81048700846631, 'scale': 1.0238153241039225}",1.23352917372914,True
