anchor,target,tl_pt_patch,transformations,score,true_positive
23,24,"[3223, 1811]","{'tx': 539, 'ty': 236, 'angle': 84.35135965463245, 'scale': 0.9725955820583874}",1.51488867940104,False
23,24,"[3492, 2296]","{'tx': 66, 'ty': 205, 'angle': 353.0298962335136, 'scale': 0.9775747608980735}",1.42830316897138,False
23,24,"[3405, 2832]","{'tx': 57, 'ty': 215, 'angle': 177.7048201931024, 'scale': 1.021090560551114}",1.45654735470883,False
23,24,"[2851, 2982]","{'tx': 417, 'ty': 394, 'angle': 359.0538651290068, 'scale': 0.9854679938535186}",1.62446925016773,False
23,24,"[2250, 2579]","{'tx': 225, 'ty': 356, 'angle': 184.68250819200566, 'scale': 0.9751355789602618}",1.65192461591412,False
23,24,"[2001, 2956]","{'tx': 62, 'ty': 229, 'angle': 164.99997042385021, 'scale': 1.020065388840201}",1.66497942485221,False
23,24,"[1569, 3141]","{'tx': 67, 'ty': 262, 'angle': 83.14716223148635, 'scale': 0.9832251240633653}",1.44807909696873,False
23,24,"[889, 3341]","{'tx': 74, 'ty': 336, 'angle': 95.57216224115633, 'scale': 1.016722363731674}",1.60716947424912,False
23,24,"[756, 2716]","{'tx': 535, 'ty': 196, 'angle': 268.4942550542394, 'scale': 1.0419369378102172}",1.51175580156874,False
23,24,"[497, 2300]","{'tx': 306, 'ty': 358, 'angle': 281.13247483244413, 'scale': 1.007038875159052}",1.298698327149,False
23,24,"[498, 1811]","{'tx': 296, 'ty': 357, 'angle': 90.31858563661962, 'scale': 0.999812249758304}",1.18558470869696,False
23,24,"[621, 1363]","{'tx': 341, 'ty': 367, 'angle': 88.34530436979976, 'scale': 1.039231379814339}",1.14656804141846,True
23,24,"[759, 909]","{'tx': 415, 'ty': 388, 'angle': 88.71792145705005, 'scale': 1.014233840044752}",1.30583556648814,True
23,24,"[915, 317]","{'tx': 537, 'ty': 195, 'angle': 92.06202769634005, 'scale': 1.0093375457263718}",1.59561957482198,False
23,24,"[1551, 427]","{'tx': 72, 'ty': 141, 'angle': 274.36630986232854, 'scale': 0.9958021367758491}",1.59678554487574,False
23,24,"[2001, 1386]","{'tx': 508, 'ty': 244, 'angle': 46.21241485728499, 'scale': 0.9679399018997825}",1.51479845808642,False
23,24,"[2098, 1515]","{'tx': 513, 'ty': 191, 'angle': 230.054483089404, 'scale': 0.9606074205429802}",1.56887539434143,False
23,24,"[2176, 1571]","{'tx': 537, 'ty': 197, 'angle': 86.93027355060678, 'scale': 0.985969875353335}",1.42458893344895,False
23,24,"[2278, 1611]","{'tx': 524, 'ty': 226, 'angle': 86.28047244193117, 'scale': 1.049412665893443}",1.20128371290039,False
23,24,"[2439, 1670]","{'tx': 528, 'ty': 219, 'angle': 89.05268481225133, 'scale': 1.0299688108777711}",1.10557089076558,False
