anchor,target,tl_pt_patch,transformations,score,true_positive
30,31,"[3198, 1372]","{'tx': 135, 'ty': 342, 'angle': 238.11416004411447, 'scale': 0.9805952052100356}",1.57927158490261,False
30,31,"[3193, 1805]","{'tx': 270, 'ty': 42, 'angle': 291.10354635776656, 'scale': 0.9736944604965138}",1.5177395779913,False
30,31,"[3135, 2297]","{'tx': 268, 'ty': 44, 'angle': 191.64859336028493, 'scale': 0.9552713332135452}",1.35198146581846,False
30,31,"[2452, 2184]","{'tx': 470, 'ty': 474, 'angle': 272.84576745135877, 'scale': 0.9613394974129635}",1.49625915885837,False
30,31,"[2134, 2210]","{'tx': 447, 'ty': 498, 'angle': 0.9772244581478369, 'scale': 0.9597025963373689}",1.59156622031636,False
30,31,"[1862, 2219]","{'tx': 474, 'ty': 311, 'angle': 91.46472395500348, 'scale': 0.9521774376453844}",1.23270904945452,True
30,31,"[1567, 2281]","{'tx': 467, 'ty': 277, 'angle': 90.81900856130953, 'scale': 0.9750752210249257}",1.16330568979219,False
30,31,"[1161, 2336]","{'tx': 73, 'ty': 513, 'angle': 92.06776401339856, 'scale': 0.9513062308799513}",1.52286166438116,False
30,31,"[788, 2153]","{'tx': 499, 'ty': 147, 'angle': 269.87629111351515, 'scale': 0.9541682675852978}",1.32924319364076,False
30,31,"[329, 1870]","{'tx': 75, 'ty': 514, 'angle': 267.7681068432676, 'scale': 0.9914173720628741}",1.42888729240535,False
30,31,"[710, 1372]","{'tx': 139, 'ty': 372, 'angle': 181.27366734571123, 'scale': 0.9954618310474012}",0.783447084391914,False
30,31,"[857, 1045]","{'tx': 138, 'ty': 377, 'angle': 180.77511742209307, 'scale': 0.9789693151076163}",0.543136460410822,False
30,31,"[995, 742]","{'tx': 137, 'ty': 379, 'angle': 180.69721343164252, 'scale': 0.977244480104658}",0.705093582887701,False
30,31,"[1084, 302]","{'tx': 516, 'ty': 93, 'angle': 73.83551899043243, 'scale': 0.9967171490209927}",1.3395177589102,False
30,31,"[1714, 916]","{'tx': 508, 'ty': 107, 'angle': 77.46770162933916, 'scale': 1.0065345809378725}",1.35775452727117,False
30,31,"[1862, 1056]","{'tx': 73, 'ty': 484, 'angle': 255.04776705723685, 'scale': 1.0342429734660912}",1.42158295704596,False
30,31,"[1942, 1127]","{'tx': 81, 'ty': 471, 'angle': 254.69769435658517, 'scale': 0.9899736734259869}",1.54577962385799,False
30,31,"[2006, 1175]","{'tx': 232, 'ty': 120, 'angle': 68.69241572436214, 'scale': 0.9673599355583888}",1.56452660208766,False
30,31,"[2683, 776]","{'tx': 300, 'ty': 32, 'angle': 253.66275976822146, 'scale': 1.0221907363291467}",1.61457132412685,False
30,31,"[2959, 1015]","{'tx': 261, 'ty': 36, 'angle': 325.8401409485614, 'scale': 0.9905048817770009}",1.4888595232261,False
