anchor,target,tl_pt_patch,transformations,score,true_positive
1,2,"[2701, 2040]","{'tx': 276, 'ty': 133, 'angle': 91.92846115369667, 'scale': 0.9609256484812341}",1.14132923468306,True
1,2,"[3111, 2500]","{'tx': 255, 'ty': 141, 'angle': 272.5460163678916, 'scale': 0.9616144241256941}",1.30914020297921,False
1,2,"[2675, 2751]","{'tx': 80, 'ty': 212, 'angle': 268.09460580696003, 'scale': 1.04444786305876}",1.2567198262953,False
1,2,"[2432, 3053]","{'tx': 93, 'ty': 119, 'angle': 357.34180809356724, 'scale': 0.9675025334946489}",1.16580086580087,False
1,2,"[2185, 3546]","{'tx': 353, 'ty': 118, 'angle': 274.7254772534265, 'scale': 0.9581854966297751}",1.07642940632005,False
1,2,"[1696, 3527]","{'tx': 76, 'ty': 164, 'angle': 87.36625296751662, 'scale': 1.010364831690065}",1.21858422715974,False
1,2,"[1296, 3273]","{'tx': 63, 'ty': 237, 'angle': 91.71235663635287, 'scale': 0.957231608252981}",1.39452819302387,False
1,2,"[866, 3183]","{'tx': 79, 'ty': 164, 'angle': 89.82575860315896, 'scale': 0.9883619444701046}",1.28736276174307,False
1,2,"[566, 2862]","{'tx': 506, 'ty': 212, 'angle': 171.6374326340062, 'scale': 1.00914421965877}",1.42029532607558,False
1,2,"[576, 2404]","{'tx': 96, 'ty': 293, 'angle': 87.5387828176636, 'scale': 0.9649181763510696}",1.47633928571429,False
1,2,"[914, 2041]","{'tx': 83, 'ty': 112, 'angle': 200.58652011277354, 'scale': 0.9680703653721863}",1.1162888395688,False
1,2,"[367, 1608]","{'tx': 301, 'ty': 337, 'angle': 46.764553404243074, 'scale': 1.0314452096627122}",1.37099263945201,False
1,2,"[806, 1394]","{'tx': 337, 'ty': 344, 'angle': 91.47239878719985, 'scale': 1.027861052189534}",1.42704203059026,False
1,2,"[947, 1009]","{'tx': 75, 'ty': 180, 'angle': 3.311153775236618, 'scale': 0.9625941962559036}",1.29556449839469,False
1,2,"[1218, 567]","{'tx': 343, 'ty': 152, 'angle': 181.68407823060235, 'scale': 1.0061652687830915}",1.35815933183424,False
1,2,"[1696, 590]","{'tx': 66, 'ty': 177, 'angle': 77.31981232166599, 'scale': 1.0213726547338673}",1.43332584677728,False
1,2,"[2133, 698]","{'tx': 67, 'ty': 185, 'angle': 265.9621298088109, 'scale': 0.956732210492211}",1.47117020324111,False
1,2,"[2671, 698]","{'tx': 45, 'ty': 324, 'angle': 291.7956817543253, 'scale': 1.0084901416927434}",1.24466366173833,False
1,2,"[2970, 1115]","{'tx': 129, 'ty': 349, 'angle': 94.1776525336496, 'scale': 0.9715891498549264}",1.38570358621905,False
1,2,"[2651, 1730]","{'tx': 393, 'ty': 145, 'angle': 274.0434901086717, 'scale': 1.0317877206300405}",1.3498522982394,False
