anchor,target,tl_pt_patch,transformations,score,true_positive
30,31,"[3198, 1372]","{'tx': 141, 'ty': 328, 'angle': 237.7769245646697, 'scale': 0.9823775980567616}",1.48101464720993,False
30,31,"[3193, 1805]","{'tx': 388, 'ty': 79, 'angle': 272.32097447923945, 'scale': 0.9973907663237094}",1.45102428435762,False
30,31,"[3135, 2297]","{'tx': 267, 'ty': 45, 'angle': 189.2097957940186, 'scale': 0.9608116959361115}",1.27315224566132,False
30,31,"[2452, 2184]","{'tx': 467, 'ty': 472, 'angle': 276.8483910001449, 'scale': 0.9788910201258786}",1.43703180484574,False
30,31,"[2134, 2210]","{'tx': 475, 'ty': 346, 'angle': 90.15980375720594, 'scale': 0.9945854645707014}",1.29620160777813,True
30,31,"[1862, 2219]","{'tx': 472, 'ty': 304, 'angle': 88.79878137491521, 'scale': 1.0113730814587558}",1.30407479058539,True
30,31,"[1567, 2281]","{'tx': 471, 'ty': 261, 'angle': 269.5388592052896, 'scale': 0.9730948852517171}",1.00431839402428,False
30,31,"[1161, 2336]","{'tx': 75, 'ty': 512, 'angle': 90.92961598234251, 'scale': 0.9505045321430097}",1.43437767827199,False
30,31,"[788, 2153]","{'tx': 497, 'ty': 149, 'angle': 270.6198240374865, 'scale': 0.9677113487451646}",1.19248296945887,False
30,31,"[329, 1870]","{'tx': 474, 'ty': 181, 'angle': 268.34652758840656, 'scale': 0.9940136001300431}",1.45754667759639,False
30,31,"[710, 1372]","{'tx': 135, 'ty': 380, 'angle': 181.19426782393532, 'scale': 0.9922225379465881}",0.699963679058021,False
30,31,"[857, 1045]","{'tx': 132, 'ty': 385, 'angle': 181.0612642618097, 'scale': 1.002286682822971}",0.515904649403106,False
30,31,"[995, 742]","{'tx': 137, 'ty': 379, 'angle': 180.7547220693835, 'scale': 0.9856928603815868}",0.619055465738092,False
30,31,"[1084, 302]","{'tx': 462, 'ty': 290, 'angle': 206.52318651521577, 'scale': 0.9933911525728023}",1.43017121853588,False
30,31,"[1714, 916]","{'tx': 140, 'ty': 352, 'angle': 70.39081651574914, 'scale': 1.0099564750000112}",1.31467835238059,False
30,31,"[1862, 1056]","{'tx': 459, 'ty': 260, 'angle': 31.524431157684223, 'scale': 1.0107503289611945}",1.39225625674624,False
30,31,"[1942, 1127]","{'tx': 78, 'ty': 481, 'angle': 253.42806690943885, 'scale': 0.9510468817222918}",1.43445639058924,False
30,31,"[2006, 1175]","{'tx': 456, 'ty': 310, 'angle': 313.0008407204301, 'scale': 0.974809795085382}",1.54528839984164,False
30,31,"[2683, 776]","{'tx': 122, 'ty': 378, 'angle': 245.5975734846203, 'scale': 0.9775220479645287}",1.56004274288791,False
30,31,"[2959, 1015]","{'tx': 109, 'ty': 390, 'angle': 238.65831850863495, 'scale': 1.032486083408246}",1.47934071582095,False
