anchor,target,tl_pt_patch,transformations,score,true_positive
002,003,"[2468, 2041]","{'tx': 217, 'ty': 88, 'angle': 189.29026821124347, 'scale': 0.9784995711329882}",1.629891303658059,False
002,003,"[2424, 2344]","{'tx': 71, 'ty': 379, 'angle': 184.88480130920502, 'scale': 0.9988395945143176}",1.404715550195776,False
002,003,"[2439, 2728]","{'tx': 67, 'ty': 411, 'angle': 180.909610360333, 'scale': 0.9702676156178587}",1.577096238031094,False
002,003,"[2445, 3350]","{'tx': 88, 'ty': 609, 'angle': 108.85835800553099, 'scale': 1.0162591340593399}",1.557847784120242,False
002,003,"[2003, 3610]","{'tx': 73, 'ty': 565, 'angle': 90.2296046243908, 'scale': 1.021861565826687}",1.5875212763825164,False
002,003,"[1494, 3618]","{'tx': 58, 'ty': 506, 'angle': 78.52629763147222, 'scale': 1.0286234886173498}",1.5240138421042944,False
002,003,"[1021, 3497]","{'tx': 89, 'ty': 273, 'angle': 87.69579743657042, 'scale': 1.0479430992385355}",1.4894113792516732,False
002,003,"[471, 3450]","{'tx': 74, 'ty': 616, 'angle': 343.3497974846419, 'scale': 0.9919654855495343}",1.5008184085687837,False
002,003,"[746, 2585]","{'tx': 167, 'ty': 635, 'angle': 92.17865385684928, 'scale': 0.955090051920558}",1.6639790796316332,False
002,003,"[812, 2263]","{'tx': 89, 'ty': 208, 'angle': 37.44494777806123, 'scale': 1.013788517053356}",1.554622344257969,False
002,003,"[744, 2042]","{'tx': 463, 'ty': 443, 'angle': 187.5122247667082, 'scale': 0.9542798402668645}",1.6793846994051895,False
002,003,"[700, 1784]","{'tx': 396, 'ty': 572, 'angle': 184.23552312776116, 'scale': 0.9691976797948059}",1.675755669112755,False
002,003,"[870, 1588]","{'tx': 116, 'ty': 617, 'angle': 242.07430169448915, 'scale': 0.9546424571191373}",1.6272389165772556,False
002,003,"[1031, 1405]","{'tx': 384, 'ty': 582, 'angle': 178.38392114744536, 'scale': 1.0139893369779935}",1.56178866396135,False
002,003,"[1105, 843]","{'tx': 64, 'ty': 481, 'angle': 359.8322496033561, 'scale': 0.9506842581772597}",1.5135859252422623,False
002,003,"[1494, 501]","{'tx': 454, 'ty': 495, 'angle': 91.35318356062473, 'scale': 0.9750681106063741}",1.596263860299263,False
002,003,"[1920, 730]","{'tx': 463, 'ty': 246, 'angle': 85.45310804671111, 'scale': 0.9869403634235373}",1.6414057701588138,False
002,003,"[2403, 791]","{'tx': 58, 'ty': 484, 'angle': 284.5175020859653, 'scale': 1.0182778606386471}",1.7098221315764075,False
002,003,"[2610, 1230]","{'tx': 390, 'ty': 60, 'angle': 265.9928209318956, 'scale': 0.9861111830299046}",1.6203917459326034,False
002,003,"[2546, 1700]","{'tx': 66, 'ty': 537, 'angle': 176.428478284739, 'scale': 1.0165629980580868}",1.5509598811208853,False
