anchor,target,tl_pt_patch,transformations,score,true_positive
25,27,"[4014, 2041]","{'tx': 333, 'ty': 89, 'angle': 267.87451485645823, 'scale': 0.9988287880028368}",62.8885135135135,False
25,27,"[3771, 2548]","{'tx': 429, 'ty': 167, 'angle': 97.33610556413562, 'scale': 1.002086371491514}",157.584269662921,False
25,27,"[3547, 3012]","{'tx': 120, 'ty': 307, 'angle': 198.6460730896111, 'scale': 0.996022632421639}",70.9475806451613,False
25,27,"[3300, 3540]","{'tx': 413, 'ty': 139, 'angle': 236.59101157262958, 'scale': 1.002814578824876}",147.222222222222,False
25,27,"[2691, 3517]","{'tx': 448, 'ty': 171, 'angle': 254.3222618781798, 'scale': 1.0021236073199928}",154.331158238173,False
25,27,"[2212, 3016]","{'tx': 278, 'ty': 390, 'angle': 91.19379030300802, 'scale': 1.0126321903160065}",103.291139240506,True
25,27,"[1991, 2724]","{'tx': 352, 'ty': 276, 'angle': 72.3925035091224, 'scale': 0.979310438475768}",128.217636022514,False
25,27,"[1804, 2604]","{'tx': 449, 'ty': 185, 'angle': 267.817733193973, 'scale': 1.0042986095224704}",159.656084656085,False
25,27,"[1589, 2495]","{'tx': 257, 'ty': 314, 'angle': 180.21856726073796, 'scale': 1.0058001451317848}",87.5835866261398,False
25,27,"[1359, 2319]","{'tx': 422, 'ty': 232, 'angle': 260.72246026777304, 'scale': 0.9677608545963269}",133.553956834532,False
25,27,"[1192, 2042]","{'tx': 402, 'ty': 257, 'angle': 89.97731943182959, 'scale': 1.0022740302205584}",91.3505747126437,True
25,27,"[436, 1464]","{'tx': 406, 'ty': 96, 'angle': 90.2516248948186, 'scale': 1.0054051119552065}",122.706766917293,False
25,27,"[439, 753]","{'tx': 451, 'ty': 177, 'angle': 172.35293048056644, 'scale': 0.9858407257520306}",145.275387263339,False
25,27,"[959, 317]","{'tx': 430, 'ty': 159, 'angle': 288.26493957378057, 'scale': 0.9654533270904042}",160.267175572519,False
25,27,"[1755, 637]","{'tx': 446, 'ty': 192, 'angle': 96.0068801166678, 'scale': 0.9692794713216982}",127.5,False
25,27,"[2212, 825]","{'tx': 297, 'ty': 87, 'angle': 267.67013841273086, 'scale': 1.0113289069353646}",172.934648581998,False
25,27,"[2535, 1048]","{'tx': 418, 'ty': 112, 'angle': 180.07241346834047, 'scale': 1.0029194517423567}",143.536082474227,False
25,27,"[2804, 1227]","{'tx': 422, 'ty': 239, 'angle': 87.85123766623497, 'scale': 1.0031121751565721}",167.432432432432,False
25,27,"[3120, 1382]","{'tx': 410, 'ty': 106, 'angle': 191.72336861212048, 'scale': 0.9515559713757066}",136.759776536313,False
25,27,"[3615, 1586]","{'tx': 424, 'ty': 116, 'angle': 190.10033092710376, 'scale': 0.9584160213432971}",77.8981723237598,False
