anchor,target,tl_pt_patch,transformations,score,true_positive
59,61,"[3971, 2560]","{'tx': 555, 'ty': 225, 'angle': 85.91221794251004, 'scale': 0.9568344484613001}",126.580086580087,False
59,61,"[4575, 3256]","{'tx': 454, 'ty': 341, 'angle': 84.80466131489493, 'scale': 0.9619027337301397}",150.887573964497,False
59,61,"[4168, 3821]","{'tx': 549, 'ty': 225, 'angle': 2.4558037630650005, 'scale': 0.952611966067435}",82.0147874306839,False
59,61,"[3779, 4415]","{'tx': 523, 'ty': 236, 'angle': 186.99141476716832, 'scale': 1.0028741091716682}",52.7586206896552,False
59,61,"[3099, 4616]","{'tx': 451, 'ty': 345, 'angle': 290.93878521592967, 'scale': 0.9638650333794073}",159.705882352941,False
59,61,"[2431, 4337]","{'tx': 459, 'ty': 335, 'angle': 294.43595859521446, 'scale': 0.9708624730772377}",150.311501597444,False
59,61,"[1934, 4091]","{'tx': 386, 'ty': 157, 'angle': 89.76480993470878, 'scale': 1.0011225630817366}",109.746835443038,False
59,61,"[1510, 3828]","{'tx': 404, 'ty': 134, 'angle': 89.75185829524149, 'scale': 0.957648565132449}",80.4545454545455,False
59,61,"[1064, 3553]","{'tx': 134, 'ty': 442, 'angle': 283.4006877683505, 'scale': 0.9508229769171037}",92.3724489795918,False
59,61,"[428, 3211]","{'tx': 387, 'ty': 152, 'angle': 93.27334237061598, 'scale': 1.0068878846221472}",99.7164179104478,False
59,61,"[668, 2560]","{'tx': 482, 'ty': 287, 'angle': 15.517166711486835, 'scale': 0.9857059278142725}",0,False
59,61,"[861, 2050]","{'tx': 448, 'ty': 326, 'angle': 197.57332557377615, 'scale': 1.0032868098283771}",88.0909090909091,False
59,61,"[849, 1410]","{'tx': 469, 'ty': 300, 'angle': 24.047568280576215, 'scale': 0.9571272775654314}",0,False
59,61,"[1021, 619]","{'tx': 449, 'ty': 343, 'angle': 196.9988836090465, 'scale': 0.963656798805154}",94.8837209302326,False
59,61,"[1823, 687]","{'tx': 247, 'ty': 331, 'angle': 290.97880405999217, 'scale': 0.955347416327616}",72.3037974683544,False
59,61,"[2431, 1052]","{'tx': 348, 'ty': 223, 'angle': 270.1940043494235, 'scale': 1.0071790192402827}",57.6702997275204,False
59,61,"[2834, 1321]","{'tx': 306, 'ty': 299, 'angle': 90.11275666248254, 'scale': 1.0026813020417595}",80.7314410480349,True
59,61,"[3124, 1608]","{'tx': 557, 'ty': 202, 'angle': 77.08532329892498, 'scale': 0.950930317731248}",109.413309982487,False
59,61,"[3347, 1895]","{'tx': 553, 'ty': 204, 'angle': 75.13083105907958, 'scale': 0.9510852158104668}",94.9270072992701,False
59,61,"[3593, 2183]","{'tx': 321, 'ty': 247, 'angle': 255.15723945801034, 'scale': 1.011245292562152}",124.473293768546,False
