anchor,target,tl_pt_patch,transformations,score,true_positive
036,037,"[2333, 2134]","{'tx': 322, 'ty': 70, 'angle': 244.87370758194538, 'scale': 1.015163457578448}",135.44117647058823,False
036,037,"[2257, 2296]","{'tx': 111, 'ty': 267, 'angle': 164.92461022622822, 'scale': 1.0007228950704172}",104.69036697247707,False
036,037,"[2183, 2443]","{'tx': 319, 'ty': 74, 'angle': 258.0181922197154, 'scale': 0.9603367844533461}",130.9593023255814,False
036,037,"[2091, 2593]","{'tx': 349, 'ty': 104, 'angle': 5.544760833272774, 'scale': 0.9555516687947988}",142.6843100189036,False
036,037,"[1986, 2838]","{'tx': 342, 'ty': 114, 'angle': 6.356432023390563, 'scale': 0.9541232216809692}",123.32943925233644,False
036,037,"[1757, 3365]","{'tx': 338, 'ty': 75, 'angle': 253.69201884819094, 'scale': 0.9561294578020985}",111.66149068322981,False
036,037,"[1204, 3835]","{'tx': 326, 'ty': 75, 'angle': 160.04058065891772, 'scale': 0.9529689233271351}",123.14960629921259,False
036,037,"[921, 3285]","{'tx': 333, 'ty': 107, 'angle': 243.61735458604878, 'scale': 0.9635606970463901}",106.74418604651163,False
036,037,"[671, 2923]","{'tx': 338, 'ty': 92, 'angle': 233.66416502680624, 'scale': 0.9551229175049235}",135.25157232704402,False
036,037,"[547, 2527]","{'tx': 331, 'ty': 468, 'angle': 278.9097140511099, 'scale': 1.0122972374394053}",89.52127659574468,False
036,037,"[455, 2133]","{'tx': 330, 'ty': 90, 'angle': 38.6822675375394, 'scale': 1.008354332747055}",88.20754716981132,False
036,037,"[356, 1678]","{'tx': 340, 'ty': 98, 'angle': 245.5232797275402, 'scale': 0.9620588639820418}",139.56521739130434,False
036,037,"[451, 1184]","{'tx': 332, 'ty': 76, 'angle': 93.81329024427549, 'scale': 0.9712608204700763}",125.11682242990655,False
036,037,"[672, 639]","{'tx': 310, 'ty': 96, 'angle': 258.9381196536653, 'scale': 0.9583684402483859}",118.13265306122449,False
036,037,"[1207, 439]","{'tx': 330, 'ty': 78, 'angle': 6.993564445032528, 'scale': 1.0475773365966674}",144.68085106382978,False
036,037,"[1757, 434]","{'tx': 325, 'ty': 81, 'angle': 343.4228561751912, 'scale': 0.9669525717824213}",149.26829268292684,False
036,037,"[2248, 622]","{'tx': 299, 'ty': 464, 'angle': 147.48771878631752, 'scale': 0.9675534747312965}",102.44060475161987,False
036,037,"[2705, 830]","{'tx': 330, 'ty': 469, 'angle': 141.99819648185837, 'scale': 0.978331915115514}",122.80453257790369,False
036,037,"[3074, 1177]","{'tx': 310, 'ty': 82, 'angle': 331.71018665815035, 'scale': 0.9609488965066113}",119.73350253807106,False
036,037,"[2642, 1846]","{'tx': 108, 'ty': 290, 'angle': 321.5335435830527, 'scale': 0.9695609746976097}",108.63520408163265,False
