anchor,target,tl_pt_patch,transformations,score,true_positive
018,025,"[3874, 1811]","{'tx': 230, 'ty': 189, 'angle': 216.52208306878444, 'scale': 1.0090295105987317}",127.89473684210526,False
018,025,"[3701, 2324]","{'tx': 123, 'ty': 333, 'angle': 17.506433412135166, 'scale': 1.0041356635174001}",149.24283765347886,False
018,025,"[3446, 2773]","{'tx': 487, 'ty': 252, 'angle': 353.7833441697753, 'scale': 1.0085357343688324}",150.13409961685824,False
018,025,"[3137, 3208]","{'tx': 533, 'ty': 132, 'angle': 260.645799967806, 'scale': 1.0023086781662198}",132.35294117647058,False
018,025,"[2442, 2798]","{'tx': 467, 'ty': 280, 'angle': 77.26133192871768, 'scale': 0.9502769802151805}",89.46300715990454,False
018,025,"[2122, 2588]","{'tx': 496, 'ty': 233, 'angle': 266.4921596089351, 'scale': 1.007308669425299}",117.56842105263158,False
018,025,"[1902, 2486]","{'tx': 479, 'ty': 281, 'angle': 269.9830211737037, 'scale': 1.0132554180762876}",35.645161290322584,False
018,025,"[1691, 2404]","{'tx': 477, 'ty': 294, 'angle': 269.8391535340449, 'scale': 0.9652152377024271}",110.55555555555556,False
018,025,"[1458, 2293]","{'tx': 505, 'ty': 223, 'angle': 269.8056828125907, 'scale': 1.0034233043084928}",97.52988047808765,False
018,025,"[1066, 2154]","{'tx': 498, 'ty': 214, 'angle': 279.72674762904745, 'scale': 0.9876262892018149}",146.66666666666666,False
018,025,"[452, 1811]","{'tx': 442, 'ty': 317, 'angle': 194.60359974667097, 'scale': 1.010418761638174}",165.30150753768845,False
018,025,"[495, 1282]","{'tx': 483, 'ty': 227, 'angle': 201.0723455406626, 'scale': 0.9537413629492282}",159.06432748538012,False
018,025,"[967, 972]","{'tx': 453, 'ty': 311, 'angle': 179.73037782531125, 'scale': 0.9571192506861538}",183.248987854251,False
018,025,"[1167, 498]","{'tx': 528, 'ty': 135, 'angle': 104.00157916578988, 'scale': 0.9588455562316734}",143.8715953307393,False
018,025,"[1688, 478]","{'tx': 407, 'ty': 387, 'angle': 104.59308992902639, 'scale': 0.953556934300188}",134.6629213483146,False
018,025,"[2121, 594]","{'tx': 443, 'ty': 312, 'angle': 297.32436233384226, 'scale': 0.9557699913874659}",110.58252427184466,False
018,025,"[2513, 606]","{'tx': 367, 'ty': 460, 'angle': 108.62433821606528, 'scale': 1.0070324322440232}",66.41479099678456,False
018,025,"[2950, 670]","{'tx': 515, 'ty': 158, 'angle': 108.5837849923091, 'scale': 0.9529132455143583}",115.1896551724138,False
018,025,"[3235, 1002]","{'tx': 515, 'ty': 210, 'angle': 92.13943334668004, 'scale': 0.9644018955380306}",168.6337543053961,False
018,025,"[3634, 1320]","{'tx': 254, 'ty': 191, 'angle': 271.0055155476633, 'scale': 1.0036696684637416}",161.9322033898305,False
