anchor,target,tl_pt_patch,transformations,score,true_positive
50,51,"[4622, 1966]","{'tx': 522, 'ty': 296, 'angle': 10.277764630984027, 'scale': 0.9500974814751673}",0.737327188940092,False
50,51,"[4560, 2625]","{'tx': 318, 'ty': 549, 'angle': 102.55395689326602, 'scale': 1.004555843846566}",0.745627980922099,False
50,51,"[4273, 3232]","{'tx': 404, 'ty': 100, 'angle': 281.9592119640859, 'scale': 0.9678956930032232}",0.760986066452304,False
50,51,"[3668, 3531]","{'tx': 299, 'ty': 521, 'angle': 58.80856619923424, 'scale': 0.9507976251846095}",0.785806451612903,False
50,51,"[3048, 3557]","{'tx': 295, 'ty': 516, 'angle': 59.239229954224555, 'scale': 1.0106540852440982}",0.682704811443433,False
50,51,"[2531, 3448]","{'tx': 405, 'ty': 307, 'angle': 266.0579161860215, 'scale': 0.9766983130832081}",0.578073089700997,False
50,51,"[2146, 3151]","{'tx': 383, 'ty': 472, 'angle': 88.19213146941257, 'scale': 1.012217649082291}",0.413907284768212,True
50,51,"[1706, 3102]","{'tx': 414, 'ty': 103, 'angle': 190.10738532304856, 'scale': 0.9632490415424163}",0.765177548682703,False
50,51,"[1104, 3004]","{'tx': 109, 'ty': 555, 'angle': 5.073271226397898, 'scale': 0.988755191298221}",0.528795811518325,False
50,51,"[890, 2500]","{'tx': 422, 'ty': 374, 'angle': 178.531243737784, 'scale': 1.039189968150133}",0.733716475095785,False
50,51,"[305, 1966]","{'tx': 269, 'ty': 65, 'angle': 89.01283942424041, 'scale': 0.9752586230692863}",0.728515625,False
50,51,"[584, 1334]","{'tx': 387, 'ty': 470, 'angle': 177.28575885553494, 'scale': 0.9557253067204619}",0.742268041237113,False
50,51,"[1017, 866]","{'tx': 208, 'ty': 105, 'angle': 32.34308076136098, 'scale': 0.9884510097975481}",0.662884927066451,False
50,51,"[1379, 380]","{'tx': 310, 'ty': 80, 'angle': 211.0834425429788, 'scale': 0.9976520315212758}",0.61376673040153,False
50,51,"[2014, 374]","{'tx': 364, 'ty': 97, 'angle': 10.834824914263377, 'scale': 0.9503547794560097}",0.765230312035661,False
50,51,"[2531, 576]","{'tx': 397, 'ty': 100, 'angle': 358.2911716788027, 'scale': 1.0226987952483417}",0.732749178532311,False
50,51,"[2738, 1333]","{'tx': 285, 'ty': 65, 'angle': 338.9417733013032, 'scale': 1.0198634118292498}",0.709428129829985,False
50,51,"[2878, 1490]","{'tx': 294, 'ty': 73, 'angle': 155.6335808442863, 'scale': 1.0152761273768165}",0.663989290495315,False
50,51,"[3547, 1229]","{'tx': 428, 'ty': 114, 'angle': 352.3305856296647, 'scale': 0.9881829053004072}",0.751289989680083,False
50,51,"[3849, 1539]","{'tx': 335, 'ty': 90, 'angle': 343.7337553737703, 'scale': 0.966611376004784}",0.743990384615385,False
