anchor,target,tl_pt_patch,transformations,score,true_positive
018,025,"[3874, 1811]","{'tx': 231, 'ty': 189, 'angle': 216.64025565511884, 'scale': 0.9980011370311432}",-0.4543272974562917,False
018,025,"[3701, 2324]","{'tx': 328, 'ty': 114, 'angle': 178.97676347831964, 'scale': 0.9843421347671988}",-0.5639945000488754,False
018,025,"[3446, 2773]","{'tx': 336, 'ty': 110, 'angle': 359.59481213405996, 'scale': 1.0209760438695825}",-0.5027795935233634,False
018,025,"[3137, 3208]","{'tx': 368, 'ty': 489, 'angle': 270.00475825006873, 'scale': 1.0014426963270393}",-0.5251680233405094,False
018,025,"[2442, 2798]","{'tx': 388, 'ty': 80, 'angle': 358.43230826278113, 'scale': 0.9535347429041308}",-0.6775395137593349,False
018,025,"[2122, 2588]","{'tx': 338, 'ty': 106, 'angle': 271.0007747584441, 'scale': 0.977037455853037}",-0.4786541135860664,False
018,025,"[1902, 2486]","{'tx': 481, 'ty': 281, 'angle': 269.3721952531393, 'scale': 0.9630875804267457}",-0.6855008028635271,False
018,025,"[1691, 2404]","{'tx': 480, 'ty': 285, 'angle': 269.0318425619245, 'scale': 0.9702555935247097}",-0.5187907341906631,False
018,025,"[1458, 2293]","{'tx': 342, 'ty': 541, 'angle': 270.56968222796513, 'scale': 1.0462686709529816}",-0.5887690218690688,False
018,025,"[1066, 2154]","{'tx': 344, 'ty': 508, 'angle': 96.71239252893025, 'scale': 0.9968781419130144}",-0.4846869581973395,False
018,025,"[452, 1811]","{'tx': 339, 'ty': 518, 'angle': 203.87682679937947, 'scale': 0.9967151602534076}",-0.29393572836794396,False
018,025,"[495, 1282]","{'tx': 90, 'ty': 516, 'angle': 272.33231070748025, 'scale': 1.0013696168516388}",-0.29622940054226526,False
018,025,"[967, 972]","{'tx': 316, 'ty': 566, 'angle': 149.52188404753926, 'scale': 0.9996331567316248}",-0.26407336564320066,False
018,025,"[1167, 498]","{'tx': 192, 'ty': 532, 'angle': 200.68539430818146, 'scale': 1.0344916215338664}",-0.30528504664078,False
018,025,"[1688, 478]","{'tx': 369, 'ty': 486, 'angle': 95.27247933896086, 'scale': 0.9512969082912484}",-0.4487843082745489,False
018,025,"[2121, 594]","{'tx': 356, 'ty': 487, 'angle': 111.38345547548307, 'scale': 0.970191322967547}",-0.4458560131157843,False
018,025,"[2513, 606]","{'tx': 353, 'ty': 498, 'angle': 109.17152326482073, 'scale': 0.9567244770536052}",-0.6902949318218381,False
018,025,"[2950, 670]","{'tx': 80, 'ty': 507, 'angle': 145.77214938554758, 'scale': 0.9637425105578891}",-0.3731069577873022,False
018,025,"[3235, 1002]","{'tx': 223, 'ty': 225, 'angle': 270.43049865844756, 'scale': 0.9858890207549725}",-0.34947408772722643,False
018,025,"[3634, 1320]","{'tx': 346, 'ty': 521, 'angle': 76.73835445955783, 'scale': 0.9665021528588853}",-0.4478518893993151,False
