anchor,target,tl_pt_patch,transformations,score,true_positive
17,18,"[3019, 2497]","{'tx': 154, 'ty': 260, 'angle': 39.47488447006724, 'scale': 0.9968734419020489}",-0.580948880516431,False
17,18,"[3072, 2876]","{'tx': 413, 'ty': 341, 'angle': 197.34004042608032, 'scale': 1.0443758059761856}",-0.359465178544278,False
17,18,"[3269, 3488]","{'tx': 144, 'ty': 265, 'angle': 221.13287542018244, 'scale': 0.9808650605633435}",-0.619822421743921,False
17,18,"[3239, 4332]","{'tx': 426, 'ty': 340, 'angle': 289.585185750661, 'scale': 0.9876737998974355}",-0.522913121671294,False
17,18,"[2557, 4502]","{'tx': 416, 'ty': 324, 'angle': 106.15692692621735, 'scale': 0.9653182892355228}",-0.678135926430206,False
17,18,"[1905, 4657]","{'tx': 432, 'ty': 347, 'angle': 269.79287396695776, 'scale': 1.026536629940689}",-0.411747136542763,False
17,18,"[1217, 4616]","{'tx': 422, 'ty': 292, 'angle': 89.74891434294729, 'scale': 1.0301993014963942}",-0.777039668012407,True
17,18,"[508, 4420]","{'tx': 379, 'ty': 57, 'angle': 178.79241810498797, 'scale': 0.9603062593084991}",-0.302487230145989,False
17,18,"[645, 3413]","{'tx': 433, 'ty': 317, 'angle': 176.29848528442665, 'scale': 0.9619737959684429}",-0.441065599279582,False
17,18,"[688, 2892]","{'tx': 423, 'ty': 323, 'angle': 358.60571211162716, 'scale': 0.9999673126864981}",-0.575967877710456,False
17,18,"[518, 2497]","{'tx': 422, 'ty': 337, 'angle': 212.5182716173873, 'scale': 0.9666571663383716}",-0.420896955117022,False
17,18,"[510, 2044]","{'tx': 419, 'ty': 305, 'angle': 347.56745432865546, 'scale': 0.9556075690913175}",-0.561391187508301,False
17,18,"[625, 1566]","{'tx': 434, 'ty': 251, 'angle': 3.1209835458364403, 'scale': 0.9720586131967643}",-0.612087392661362,False
17,18,"[757, 916]","{'tx': 431, 'ty': 253, 'angle': 6.440283867505734, 'scale': 0.9710323423225437}",-0.541869639553976,False
17,18,"[1362, 826]","{'tx': 441, 'ty': 259, 'angle': 87.69147996973295, 'scale': 1.0151887653613834}",-0.444283325246426,False
17,18,"[1905, 1028]","{'tx': 418, 'ty': 384, 'angle': 82.42676541400711, 'scale': 0.9580194425099036}",-0.483908476676972,False
17,18,"[2309, 1255]","{'tx': 115, 'ty': 342, 'angle': 265.696604756124, 'scale': 1.0463801006925841}",-0.495629903484684,False
17,18,"[2844, 1205]","{'tx': 425, 'ty': 324, 'angle': 20.675213705760317, 'scale': 0.9539564774258463}",-0.517983714909707,False
17,18,"[2920, 1760]","{'tx': 160, 'ty': 279, 'angle': 8.222178441021109, 'scale': 0.9972145480498444}",-0.361782039571386,False
17,18,"[2922, 2167]","{'tx': 155, 'ty': 255, 'angle': 39.724669007797694, 'scale': 1.0197066570050608}",-0.462940992723979,False
