anchor,target,tl_pt_patch,transformations,score,true_positive
003,004,"[4739, 1911]","{'tx': 122, 'ty': 430, 'angle': 170.32850810937893, 'scale': 0.9522975090393815}",148.21499139524508,False
003,004,"[4522, 2553]","{'tx': 16, 'ty': 337, 'angle': 89.64815541544056, 'scale': 1.0106085833159562}",126.40566801619433,False
003,004,"[4326, 3205]","{'tx': 170, 'ty': 95, 'angle': 271.47003259897497, 'scale': 0.9966658902500033}",117.40625,False
003,004,"[3594, 3355]","{'tx': 153, 'ty': 84, 'angle': 199.43068580266254, 'scale': 0.9956875718219294}",136.48425787106447,False
003,004,"[3008, 3334]","{'tx': 154, 'ty': 86, 'angle': 193.87398145803866, 'scale': 0.9949842321922375}",124.67233840804931,False
003,004,"[2545, 3292]","{'tx': 160, 'ty': 91, 'angle': 186.9006622438984, 'scale': 0.9684456317799324}",118.4201233792887,False
003,004,"[2118, 3228]","{'tx': 151, 'ty': 90, 'angle': 180.8137501823064, 'scale': 0.9986795010938404}",102.84164164696449,False
003,004,"[1674, 3110]","{'tx': 434, 'ty': 475, 'angle': 2.473907564645126, 'scale': 0.980444371220851}",116.35299861938917,False
003,004,"[1106, 2957]","{'tx': 172, 'ty': 93, 'angle': 179.1808249575237, 'scale': 0.9518591309746107}",130.24172932330828,False
003,004,"[512, 2572]","{'tx': 393, 'ty': 111, 'angle': 88.55218527576734, 'scale': 0.9592498301901808}",117.80952380952381,False
003,004,"[1792, 1912]","{'tx': 110, 'ty': 58, 'angle': 179.2356218465864, 'scale': 1.009148003208568}",134.355631359852,False
003,004,"[559, 1266]","{'tx': 200, 'ty': 47, 'angle': 87.88071804409432, 'scale': 1.0174718512851049}",136.89473684210526,False
003,004,"[658, 540]","{'tx': 92, 'ty': 237, 'angle': 272.40527299730115, 'scale': 1.024146024518536}",160.31732723577235,False
003,004,"[1485, 452]","{'tx': 104, 'ty': 51, 'angle': 359.98126510897833, 'scale': 0.9693598117022498}",125.57978019741527,False
003,004,"[2139, 660]","{'tx': 91, 'ty': 425, 'angle': 177.46110265604256, 'scale': 0.9581391017270706}",129.46526957890595,False
003,004,"[2545, 666]","{'tx': 403, 'ty': 105, 'angle': 0.020322129137903253, 'scale': 1.0447817300170077}",124.83505997818976,False
003,004,"[2972, 599]","{'tx': 204, 'ty': 58, 'angle': 359.9774469781002, 'scale': 0.9838297449338852}",132.48899766481048,False
003,004,"[3462, 650]","{'tx': 390, 'ty': 132, 'angle': 87.4145613200157, 'scale': 1.0412052670237322}",128.2099761936387,False
003,004,"[3893, 932]","{'tx': 377, 'ty': 136, 'angle': 276.512817220812, 'scale': 0.9525475606667858}",122.57697947214076,False
003,004,"[4472, 1285]","{'tx': 388, 'ty': 136, 'angle': 87.34765985346262, 'scale': 1.0179980205574677}",126.84093045112783,False
