anchor,target,tl_pt_patch,transformations,score,true_positive,disruptive_score,mean_disruptive_score
69,72,"[2852, 2550]","{'tx': 227, 'ty': 115, 'angle': 266.34337903573714, 'scale': 1.0036445713957751}",0.461254612546125,True,0.571418335542579,0.481276993868315
69,72,"[3440, 3014]","{'tx': 185, 'ty': 192, 'angle': 86.68518187585536, 'scale': 0.9711673322913763}",0.554234769687964,False,0.614572337207305,0.576731425143153
69,72,"[3365, 3533]","{'tx': 123, 'ty': 295, 'angle': 349.16343262802565, 'scale': 0.9720725143903521}",0.777777777777778,False,0.885918003565062,0.0152636686462833
69,72,"[3253, 4257]","{'tx': 509, 'ty': 196, 'angle': 305.4820337457833, 'scale': 0.9871434016624712}",0.65990990990991,False,0.770811436436436,0.682336127635026
69,72,"[2675, 4587]","{'tx': 120, 'ty': 259, 'angle': 116.13753275814409, 'scale': 0.9564280932044004}",0.68515205724508,False,0.749830411449016,0.703942050414223
69,72,"[2013, 4439]","{'tx': 509, 'ty': 189, 'angle': 212.91278108545634, 'scale': 0.9827234230515}",0.670560747663551,False,0.773130072552877,0.695041699140147
69,72,"[1497, 4139]","{'tx': 211, 'ty': 524, 'angle': 99.19485808233559, 'scale': 0.9556713926122311}",0.653312788906009,False,0.751442314709212,0.0128202682547061
69,72,"[1080, 3834]","{'tx': 507, 'ty': 194, 'angle': 207.59636290402455, 'scale': 1.0459343043597287}",0.484057971014493,False,0.536646985149401,0.498567573223713
69,72,"[1084, 3225]","{'tx': 151, 'ty': 226, 'angle': 3.3228065471625365, 'scale': 0.980948754967728}",0.682,False,0.743327131782946,0.702315951166308
69,72,"[426, 3065]","{'tx': 504, 'ty': 189, 'angle': 52.79692727142989, 'scale': 0.9501477554678943}",0.652,False,0.699372848948375,0.0127915696968756
69,72,"[1562, 2550]","{'tx': 106, 'ty': 285, 'angle': 100.51863773104299, 'scale': 1.041075257330141}",0.765509989484753,False,0.849764233610433,0.802647834602614
69,72,"[579, 2084]","{'tx': 492, 'ty': 163, 'angle': 147.89568356488385, 'scale': 0.9631693743070362}",0.577464788732394,False,0.632197028323789,0.0113287587971762
69,72,"[631, 1546]","{'tx': 163, 'ty': 211, 'angle': 93.38532436034436, 'scale': 1.0408156613812927}",0.72202166064982,False,0.854177411036617,0.743467152743287
69,72,"[814, 900]","{'tx': 133, 'ty': 504, 'angle': 279.5144526579851, 'scale': 0.9839032911405505}",0.704830053667263,False,0.850936859417866,0.728197657936091
69,72,"[1436, 775]","{'tx': 278, 'ty': 588, 'angle': 266.88736972542785, 'scale': 0.9570979383855154}",0.754455445544554,False,0.870960559324298,0.781838906047816
69,72,"[2013, 986]","{'tx': 594, 'ty': 331, 'angle': 276.22940642077026, 'scale': 1.0125089590243872}",0.703846153846154,False,0.816145203111495,0.736374207748793
69,72,"[2463, 1166]","{'tx': 249, 'ty': 82, 'angle': 270.5311079069395, 'scale': 0.9581890520931882}",0.72791519434629,False,0.81438195289964,0.754277009331369
69,72,"[2735, 1556]","{'tx': 383, 'ty': 72, 'angle': 84.68656299181178, 'scale': 1.04298435351997}",0.608294930875576,True,0.702733413294615,0.632929315205895
69,72,"[2663, 2078]","{'tx': 139, 'ty': 267, 'angle': 3.3572718113595177, 'scale': 0.9505568106195934}",0.632162661737523,False,0.770483967470327,0.65543400658135
69,72,"[2628, 2350]","{'tx': 274, 'ty': 67, 'angle': 91.73675612581711, 'scale': 1.03328017687126}",0.659685863874346,False,0.773287357049082,0.689930522045306
