anchor,target,tl_pt_patch,transformations,score,true_positive,disruptive_score,mean_disruptive_score
25,27,"[4014, 2041]","{'tx': 287, 'ty': 375, 'angle': 14.245170372015977, 'scale': 0.9752221424083285}",0.678383128295255,False,0.744541235234266,0.0133103131565939
25,27,"[3771, 2548]","{'tx': 346, 'ty': 64, 'angle': 5.889783370686869, 'scale': 0.9537293060903828}",0.757575757575758,False,0.892633537261636,0.0148681249869098
25,27,"[3547, 3012]","{'tx': 189, 'ty': 347, 'angle': 116.39918738162201, 'scale': 0.960285161029702}",0.728947368421053,False,0.813006164058796,0.746779244891708
25,27,"[3300, 3540]","{'tx': 199, 'ty': 363, 'angle': 97.71413758325279, 'scale': 0.999602100647896}",0.799307958477509,False,0.911943884714577,0.0156860042152987
25,27,"[2691, 3517]","{'tx': 321, 'ty': 360, 'angle': 278.29570339146187, 'scale': 0.9518950918707715}",0.705394190871369,False,0.792098893499308,0.00698763283029246
25,27,"[2212, 3016]","{'tx': 268, 'ty': 398, 'angle': 89.75765648206834, 'scale': 1.0262066427218783}",0.383966244725738,True,0.445541014088536,0.4000524286196
25,27,"[1991, 2724]","{'tx': 249, 'ty': 420, 'angle': 264.00043677422343, 'scale': 0.9593865429514052}",0.623134328358209,False,0.706947717552588,0.00617272543203023
25,27,"[1804, 2604]","{'tx': 322, 'ty': 345, 'angle': 90.2232793909296, 'scale': 1.0083586539549654}",0.64390243902439,True,0.722064006767235,0.012635814371612
25,27,"[1589, 2495]","{'tx': 333, 'ty': 318, 'angle': 88.5711473674839, 'scale': 1.0175387703767562}",0.569254185692542,True,0.650993248253522,0.0111705214816345
25,27,"[1359, 2319]","{'tx': 260, 'ty': 399, 'angle': 99.82424614314625, 'scale': 0.9646334533911703}",0.679347826086957,False,0.749244624077853,0.708520978765385
25,27,"[1192, 2042]","{'tx': 401, 'ty': 258, 'angle': 90.83413602255112, 'scale': 0.9961820528756035}",0.628081457663451,True,0.711987789858569,0.655312013313039
25,27,"[436, 1464]","{'tx': 341, 'ty': 51, 'angle': 90.48820483829547, 'scale': 1.0433164897090248}",0.59499263622975,False,0.708582139509975,0.618445901740069
25,27,"[439, 753]","{'tx': 361, 'ty': 290, 'angle': 181.07294755691078, 'scale': 0.9925656415152367}",0.732163742690058,False,0.815517768780927,0.759941905071202
25,27,"[959, 317]","{'tx': 446, 'ty': 164, 'angle': 104.7497167467833, 'scale': 1.0134054631638727}",0.760853008377761,False,0.856518427762509,0.791289494525787
25,27,"[1755, 637]","{'tx': 447, 'ty': 193, 'angle': 95.06899515318202, 'scale': 0.96748807821394}",0.633228840125392,False,0.724002577138185,0.012428426586846
25,27,"[2212, 825]","{'tx': 339, 'ty': 52, 'angle': 357.9777851304322, 'scale': 0.9546027015042013}",0.676434676434676,False,0.806097674457952,0.0132768471512076
25,27,"[2535, 1048]","{'tx': 438, 'ty': 118, 'angle': 358.51576281627473, 'scale': 0.9649695613371079}",0.624489795918367,False,0.732535364526659,0.652878955459378
25,27,"[2804, 1227]","{'tx': 424, 'ty': 241, 'angle': 87.58337839808868, 'scale': 0.9517471366091281}",0.752136752136752,False,0.849418328584995,0.00745039283400476
25,27,"[3120, 1382]","{'tx': 375, 'ty': 72, 'angle': 11.689266443640536, 'scale': 0.9986663756824474}",0.676508344030809,False,0.843668836015166,0.01327669383192
25,27,"[3615, 1586]","{'tx': 374, 'ty': 72, 'angle': 10.43924118424682, 'scale': 0.9510743827280851}",0.547970479704797,False,0.641442752455694,0.0107530518079961
