anchor,target,tl_pt_patch,transformations,score,true_positive,disruptive_score,mean_disruptive_score
022,023,"[2418, 2521]","{'tx': 271, 'ty': 76, 'angle': 87.36935012242334, 'scale': 0.9531143369449985}",0.6767317939609236,False,0.8293611869604023,0.7076088801297453
022,023,"[2408, 2811]","{'tx': 399, 'ty': 108, 'angle': 269.37972756659474, 'scale': 0.9591397355898746}",0.7361647361647361,False,0.832312900914484,0.7675820525876123
022,023,"[2514, 3247]","{'tx': 174, 'ty': 480, 'angle': 267.5381489518776, 'scale': 0.9917941565166045}",0.7075471698113207,False,0.8223954060705495,0.7374035494298791
022,023,"[2561, 3963]","{'tx': 363, 'ty': 264, 'angle': 90.88977315787783, 'scale': 0.9502069175855741}",0.6219312602291326,False,0.7404900465086763,0.6528117664074181
022,023,"[2172, 4546]","{'tx': 289, 'ty': 330, 'angle': 265.1323080441963, 'scale': 0.9521761011611276}",0.7371967654986523,False,0.8450361004996542,0.7746061802057185
022,023,"[1514, 4274]","{'tx': 273, 'ty': 370, 'angle': 269.33247116718604, 'scale': 1.014054500751655}",0.6484848484848484,False,0.7619010984314227,0.012728824299966942
022,023,"[1006, 4083]","{'tx': 447, 'ty': 227, 'angle': 267.6532718945446, 'scale': 0.9542136108519158}",0.7460106382978724,False,0.9045728245278509,0.7837725247612636
022,023,"[738, 3590]","{'tx': 85, 'ty': 472, 'angle': 320.0868689700685, 'scale': 0.9759024629230466}",0.6834862385321101,False,0.7897109443636312,0.7179576145909572
022,023,"[610, 3177]","{'tx': 355, 'ty': 264, 'angle': 267.9902282045003, 'scale': 0.9987767070177918}",0.7051482059282371,False,0.792478813777057,0.7344044813344501
022,023,"[912, 2717]","{'tx': 301, 'ty': 79, 'angle': 71.21331386280069, 'scale': 1.0375800440331804}",0.7514450867052023,False,0.8545396870153672,0.7839604479107529
022,023,"[1015, 2521]","{'tx': 301, 'ty': 78, 'angle': 78.28106346758915, 'scale': 0.9926734878399637}",0.6196969696969696,False,0.7467156032373423,0.6487108024713844
022,023,"[1092, 2384]","{'tx': 238, 'ty': 60, 'angle': 61.6175716100709, 'scale': 0.9595822398725782}",0.6350267379679144,False,0.744023864634049,0.012464450503890738
022,023,"[1170, 2271]","{'tx': 243, 'ty': 58, 'angle': 56.88652194340277, 'scale': 0.9822992740381429}",0.733195449844881,False,0.8461796667062234,0.7738945188087203
022,023,"[554, 1199]","{'tx': 109, 'ty': 391, 'angle': 359.1609108911326, 'scale': 0.9959099451340374}",0.7663551401869159,False,0.8673746813933729,0.7888246247456662
022,023,"[976, 864]","{'tx': 277, 'ty': 65, 'angle': 233.84335376724505, 'scale': 1.0245584012385462}",0.7098214285714286,False,0.7948299828913602,0.734917395806075
022,023,"[1514, 408]","{'tx': 99, 'ty': 453, 'angle': 270.70938228129904, 'scale': 1.046116376332878}",0.6704805491990846,False,0.7542906178489702,0.013154361526709329
022,023,"[2246, 265]","{'tx': 39, 'ty': 89, 'angle': 277.81469484477634, 'scale': 0.9653893779015522}",0.7721238938053098,False,0.8888114275958229,0.8006231816095792
022,023,"[2491, 1176]","{'tx': 172, 'ty': 67, 'angle': 275.6108296941274, 'scale': 0.9916709261472498}",0.784556720686368,False,0.9268839197358547,0.015400183541537778
022,023,"[2616, 1720]","{'tx': 417, 'ty': 99, 'angle': 269.5915902017698, 'scale': 0.9974567706518045}",0.7098039215686274,False,0.8456248554467658,0.01393160570988467
022,023,"[2532, 2190]","{'tx': 306, 'ty': 87, 'angle': 86.17860423676976, 'scale': 1.0225615563990986}",0.6758530183727034,False,0.796541057367829,0.013264984813964792
