anchor,target,tl_pt_patch,transformations,score,true_positive,disruptive_score,mean_disruptive_score
1,2,"[2701, 2040]","{'tx': 276, 'ty': 132, 'angle': 91.49997173924346, 'scale': 1.0085981521998062}",0.662146892655367,True,0.750952475905617,0.716623218671074
1,2,"[3111, 2500]","{'tx': 51, 'ty': 337, 'angle': 180.7579763894879, 'scale': 0.9982904700810243}",0.807785888077859,False,0.876082654125258,0.845826334567058
1,2,"[2675, 2751]","{'tx': 76, 'ty': 145, 'angle': 281.68339659755054, 'scale': 1.0186938561815997}",0.744582043343653,False,0.834075077399381,0.79439565980679
1,2,"[2432, 3053]","{'tx': 129, 'ty': 86, 'angle': 93.01281104272793, 'scale': 1.0026983335335207}",0.622027534418023,True,0.733978496742976,0.691067468830409
1,2,"[2185, 3546]","{'tx': 67, 'ty': 155, 'angle': 158.23528815182823, 'scale': 0.9871096372027526}",0.715938303341902,False,0.788993232254341,0.771079876905665
1,2,"[1696, 3527]","{'tx': 66, 'ty': 342, 'angle': 348.5887734644125, 'scale': 0.9622178594702746}",0.765249537892791,False,0.856718758752031,0.812646472170457
1,2,"[1296, 3273]","{'tx': 118, 'ty': 45, 'angle': 197.23136254114908, 'scale': 0.9534123873386633}",0.786026200873363,False,0.899213973799127,0.846974212125364
1,2,"[866, 3183]","{'tx': 95, 'ty': 111, 'angle': 90.15900874340278, 'scale': 0.9915508582256597}",0.731707317073171,False,0.826942418908725,0.791625487026013
1,2,"[566, 2862]","{'tx': 62, 'ty': 167, 'angle': 31.60898143938132, 'scale': 0.9822161587549356}",0.807453416149068,False,0.944205754945009,0.882613379663964
1,2,"[576, 2404]","{'tx': 318, 'ty': 100, 'angle': 2.6611586026433365, 'scale': 0.952272861889072}",0.803249097472924,False,0.907684373388344,0.852239703152245
1,2,"[914, 2041]","{'tx': 84, 'ty': 102, 'angle': 19.460563980945217, 'scale': 1.0321318187424031}",0.620767494356659,False,0.703114202791726,0.659905182617524
1,2,"[367, 1608]","{'tx': 48, 'ty': 335, 'angle': 309.5101331768315, 'scale': 0.9927249808443201}",0.783092324805339,False,0.898203535640459,0.860157677607344
1,2,"[806, 1394]","{'tx': 474, 'ty': 256, 'angle': 105.05392374404197, 'scale': 0.9848800459475413}",0.791255289139633,False,0.870738852121081,0.860196650019225
1,2,"[947, 1009]","{'tx': 73, 'ty': 177, 'angle': 2.116593681869441, 'scale': 1.024023171829704}",0.726315789473684,False,0.802994289242167,0.783950966606371
1,2,"[1218, 567]","{'tx': 97, 'ty': 95, 'angle': 352.095423452224, 'scale': 0.9525308555287518}",0.664429530201342,False,0.751472700096715,0.719364202624594
1,2,"[1696, 590]","{'tx': 80, 'ty': 148, 'angle': 273.0531453363583, 'scale': 1.0376985250941715}",0.778371161548732,False,0.858128358367767,0.834727522262891
1,2,"[2133, 698]","{'tx': 153, 'ty': 71, 'angle': 6.1084307671373965, 'scale': 1.036187719136692}",0.794223826714801,False,0.871482953827136,0.852715889088708
1,2,"[2671, 698]","{'tx': 270, 'ty': 117, 'angle': 89.2979158389096, 'scale': 0.9915622887964078}",0.796218487394958,False,0.847753664572625,0.834669802286455
1,2,"[2970, 1115]","{'tx': 63, 'ty': 255, 'angle': 179.62685347122755, 'scale': 0.9913720466161432}",0.762187871581451,False,0.849942092636325,0.829352592215646
1,2,"[2651, 1730]","{'tx': 320, 'ty': 125, 'angle': 92.58086618258932, 'scale': 1.0117415886049574}",0.615107913669065,True,0.683134982119078,0.666426402419215
