anchor,target,tl_pt_patch,transformations,score,true_positive,disruptive_score,mean_disruptive_score
42,44,"[3840, 2272]","{'tx': 547, 'ty': 257, 'angle': 183.87862625603066, 'scale': 0.9771464213731035}",0.784285714285714,False,0.860783956244303,0.0153916147246502
42,44,"[3824, 2787]","{'tx': 541, 'ty': 499, 'angle': 346.0890574632502, 'scale': 0.9730444170800707}",0.727871939736346,False,0.874775099987394,0.01428379120944
42,44,"[3586, 3252]","{'tx': 465, 'ty': 652, 'angle': 359.9693315549926, 'scale': 1.0256807444512013}",0.756041426927503,False,0.849312139973712,0.783684047035987
42,44,"[3367, 3827]","{'tx': 318, 'ty': 90, 'angle': 179.89467963510617, 'scale': 1.0423240198172916}",0.695014662756598,False,0.831107435389971,0.0136395525750791
42,44,"[2783, 3950]","{'tx': 434, 'ty': 197, 'angle': 5.327351288139579, 'scale': 0.9534495877424025}",0.748623853211009,False,0.845419784712845,0.014690748210148
42,44,"[2237, 3680]","{'tx': 514, 'ty': 579, 'angle': 270.317016492726, 'scale': 1.0218304370393774}",0.730407523510972,False,0.858841598114914,0.762641425067423
42,44,"[1873, 3393]","{'tx': 320, 'ty': 118, 'angle': 262.3849193807839, 'scale': 0.9609537845397768}",0.592814371257485,False,0.659311448701642,0.618722017319253
42,44,"[1611, 3135]","{'tx': 257, 'ty': 220, 'angle': 85.31339226962038, 'scale': 0.9691114183832021}",0.695259593679458,False,0.843060250867751,0.727361239705556
42,44,"[1377, 2897]","{'tx': 597, 'ty': 282, 'angle': 164.0024814288385, 'scale': 0.978530145547807}",0.748863636363636,False,0.883904619970194,0.785063669257304
42,44,"[1129, 2632]","{'tx': 273, 'ty': 769, 'angle': 350.46194150984707, 'scale': 0.9726901746795751}",0.71833084947839,False,0.817300877628746,0.0071157967332786
42,44,"[779, 2272]","{'tx': 343, 'ty': 766, 'angle': 86.43019664417231, 'scale': 0.9636375241735174}",0.690863579474343,False,0.782764502139302,0.0135590811048179
42,44,"[790, 1802]","{'tx': 222, 'ty': 731, 'angle': 86.58252183991492, 'scale': 1.0065577075959948}",0.542521994134897,False,0.65082947027798,0.0106461815178324
42,44,"[1096, 1443]","{'tx': 546, 'ty': 255, 'angle': 77.34670604984426, 'scale': 1.001593184354752}",0.710914454277286,False,0.824268924349058,0.73943342144287
42,44,"[1467, 1211]","{'tx': 246, 'ty': 748, 'angle': 267.81540752096976, 'scale': 1.0109913851726129}",0.731023102310231,False,0.903760130266335,0.762884987872145
42,44,"[1767, 825]","{'tx': 236, 'ty': 738, 'angle': 88.54370258576958, 'scale': 1.0021235625093392}",0.579345088161209,True,0.74108444915816,0.600445873908164
42,44,"[2237, 400]","{'tx': 483, 'ty': 614, 'angle': 83.6802158772866, 'scale': 0.9968164903334735}",0.638674033149171,False,0.720555319450347,0.663900785883106
42,44,"[2725, 772]","{'tx': 497, 'ty': 603, 'angle': 92.10164054863976, 'scale': 0.9582851475905474}",0.593788819875776,False,0.718163505120027,0.618426376523604
42,44,"[3147, 1021]","{'tx': 459, 'ty': 650, 'angle': 95.10301582675648, 'scale': 0.9928694477417608}",0.75270607826811,False,0.846879025954219,0.0147723262542646
42,44,"[3823, 1120]","{'tx': 542, 'ty': 523, 'angle': 90.73513898733289, 'scale': 0.9615503979916019}",0.606993006993007,False,0.6819858072234,0.0119109618098997
42,44,"[3963, 1711]","{'tx': 310, 'ty': 123, 'angle': 15.108300201742411, 'scale': 0.9515938333743162}",0.545289855072464,False,0.624304786301117,0.566553389070307
